Code;Sample Point;Type;Territory;Municipality;XETRS89;YETRS89;ZETRS89;Water range;Water range type;Basin;Section;Subgroup
SC10;Sondeo Zikujano-A (Calidad);SONDEOS;Araba/Álava;Arraia-Maeztu;545660;4733776;0;Sierra de Urbasa;No aplicable;Ega;Igoroin 2;Aguas (Fisicoquímica)
SC11;Manantial Olalde (Calidad);MANANTIALES;Bizkaia;Kortezubi;528745;4799542;0;Ereñozar;No aplicable;Oka;Oma 1;Aguas (Fisicoquímica)
SC12;Sondeo Mañaria-A (Calidad);SONDEOS;Bizkaia;Mañaria;528292;4776352;0;Aramotz;No aplicable;Ibaizabal;Mañaria 2;Aguas (Fisicoquímica)
SC13;Sondeo Oizetxebarrteta-A;SONDEOS;Bizkaia;Berriz;532445;4784420;0;Oiz;No aplicable;Sarria - Aquelcorta;Sarria 1;Aguas (Fisicoquímica)
SC14;Sondeo Vega;SONDEOS;Bizkaia;Gernika-Lumo;526562;4795553;0;Gernika;No aplicable;Oka;Zona drenante a Oka Interior - Oligohalino;Aguas (Fisicoquímica)
SC15;Manantial Urbeltza (Calidad);MANANTIALES;Gipuzkoa;Elduain;580794;4776301;0;Gatzume-Tolosa;No aplicable;Zelai;Zelai 1;Aguas (Fisicoquímica)
SC16;Sondeo Kilimon (Calidad);SONDEOS;Gipuzkoa;Mendaro;550725;4788227;0;Izarraitz;No aplicable;Deba;Kilimoi 2;Aguas (Fisicoquímica)
SC17;Manantial Salubita (Calidad);MANANTIALES;Gipuzkoa;Tolosa;572389;4775030;0;Gatzume-Tolosa;No aplicable;Oria;Salubita 1;Aguas (Fisicoquímica)
SC18;Troya (Bocamina Norte);GALERÍAS;Gipuzkoa;Gabiria;557568;4765052;0;Troya;No aplicable;Estanda;Estanda 3;Aguas (Fisicoquímica)
SC19;Manantial Zazpiturrieta (Calidad);MANANTIALES;Gipuzkoa;Amezketa;574464;4765241;0;Sinclinorio de Bizkaia;No aplicable;Amezketa;Amezketa 2;Aguas (Fisicoquímica)
SC20;Manantial Hamabiturri;MANANTIALES;Gipuzkoa;Zestoa;560505;4787305;0;Gatzume-Tolosa;No aplicable;Urola;Urola 3;Aguas (Fisicoquímica)
SC23;Sondeo Salburua-1 (Calidad);SONDEOS;Araba/Álava;Vitoria-Gasteiz;528619;4745006;0;Aluvial de Vitoria;No aplicable;Alegria;Salburua Humedal;Aguas (Fisicoquímica)
SC24;Sondeo Pobes (Calidad);SONDEOS;Araba/Álava;Erriberagoitia/Ribera Alta;507853;4738749;0;Sinclinal de Trebiño;No aplicable;Baia;Baias 10;Aguas (Fisicoquímica)
SC25;Sondeo Angosto (Calidad);SONDEOS;Araba/Álava;Valdegovía/Gaubea;494310;4743305;0;Vaderejo-Sobron;No aplicable;Humedo - Omecillo;Tumecillo 3;Aguas (Fisicoquímica)
SC26;Manantial Iturriotz (Calidad);MANANTIALES;Bizkaia;Trucios-Turtzioz;479594;4791142;0;Castro Urdiales;No aplicable;Aguera;Aguera 3;Aguas (Fisicoquímica)
SC27;Manantial Lanestosa (Calidad);MANANTIALES;Bizkaia;Karrantza Harana/Valle de Carranza;469396;4788387;0;Alisa Ramales;No aplicable;Karrantza;Karrantza 4;Aguas (Fisicoquímica)
SC28;Regata Latxe;RÍOS;Gipuzkoa;Hernani;586978;4788022;0;Macizos paleozoicos;No aplicable;Urumea;Urumea 2;Aguas (Fisicoquímica)
SC30;Sondeo Hernani-C (Calidad);SONDEOS;Gipuzkoa;Hernani;584289;4791419;0;Andoain-Oiartzun;No aplicable;Urumea intracomunitario;Zona drenante a Urumea - Dulce;Aguas (Fisicoquímica)
SC31;Sondeo Legorreta-5 (Calidad);SONDEOS;Gipuzkoa;Bidania-Goiatz;565821;4772244;0;Gatzume-Tolosa;No aplicable;Oria;Zubiri 1;Aguas (Fisicoquímica)
SC32;Sondeo Etxano-A (Calidad);SONDEOS;Bizkaia;Amorebieta-Etxano;523988;4785954;0;Sinclinorio de Bizkaia;No aplicable;Ibaizabal;Ibaizabal 6;Aguas (Fisicoquímica)
SC33;Sondeo Aralar (Calidad);SONDEOS;Gipuzkoa;Zaldibia;571214;4761406;0;Aralar;No aplicable;Zaldivia;Zaldibia 1;Aguas (Fisicoquímica)
